Timestamp(s),px0,px1,px2,px3,px4,px5,py0,py1,py2,py3,py4,py5
48,0.0653092,0.787002,0.978373,0.99,0.158372,0.0100039,0.01,0.01,0.01,0.01,0.01,0.01
49,0.0806952,0.659692,0.961529,0.99,0.245833,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
50,0.272633,0.518264,0.757205,0.99,0.342208,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
51,0.0271178,0.545178,0.788989,0.99,0.471585,0.0100005,0.01,0.01,0.01,0.01,0.01,0.01
52,0.315207,0.669704,0.912368,0.99,0.334545,0.0100014,0.01,0.01,0.01,0.01,0.01,0.01
53,0.125836,0.643897,0.866892,0.989999,0.627382,0.0100029,0.01,0.01,0.01,0.01,0.01,0.01
54,0.111828,0.899288,0.945918,0.99,0.378061,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
55,0.112586,0.708135,0.72272,0.989999,0.31917,0.0100007,0.01,0.01,0.01,0.01,0.01,0.01
56,0.180387,0.525331,0.536582,0.989997,0.400901,0.0100007,0.01,0.01,0.01,0.01,0.01,0.01
57,0.0959599,0.451017,0.729601,0.989996,0.334739,0.0100017,0.01,0.01,0.01,0.01,0.01,0.01
58,0.142799,0.703406,0.925274,0.989994,0.244312,0.0100005,0.01,0.01,0.01,0.01,0.01,0.01
59,0.0772796,0.833981,0.963881,0.99,0.537764,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
60,0.259093,0.740652,0.846898,0.99,0.632868,0.0100006,0.01,0.01,0.01,0.01,0.01,0.01
61,0.432357,0.49214,0.8263,0.99,0.449496,0.0100011,0.01,0.01,0.01,0.01,0.01,0.01
62,0.226679,0.529004,0.645733,0.99,0.25103,0.0100016,0.01,0.01,0.01,0.01,0.01,0.01
63,0.0515936,0.241139,0.823964,0.99,0.0661694,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
64,0.0983056,0.318286,0.96001,0.99,0.183074,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
65,0.361386,0.561657,0.782385,0.99,0.391457,0.0100016,0.01,0.01,0.01,0.01,0.01,0.01
66,0.549267,0.683196,0.812941,0.989999,0.588691,0.0100029,0.01,0.01,0.01,0.01,0.01,0.01
67,0.405822,0.899707,0.973514,0.99,0.744901,0.0100041,0.01,0.01,0.01,0.01,0.01,0.01
68,0.231676,0.702057,0.947212,0.989999,0.652326,0.0100054,0.01,0.01,0.01,0.01,0.01,0.01
69,0.057529,0.423822,0.831148,0.99,0.413842,0.0100067,0.01,0.01,0.01,0.01,0.01,0.01
70,0.127597,0.184996,0.647447,0.99,0.162072,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
71,0.10559,0.341322,0.463746,0.989999,0.193301,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
72,0.255924,0.475407,0.520031,0.989999,0.34885,0.0100008,0.01,0.01,0.01,0.01,0.01,0.01
73,0.075643,0.680485,0.757663,0.989999,0.582674,0.0100014,0.01,0.01,0.01,0.01,0.01,0.01
74,0.142039,0.850414,0.932586,0.99,0.816498,0.01,0.01,0.01,0.01,0.01,0.01,0.01
75,0.321664,0.887735,0.935782,0.99,0.646395,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
76,0.369408,0.657462,0.768672,0.99,0.509343,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
77,0.101761,0.593145,0.703882,0.99,0.419408,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
78,0.182006,0.426939,0.880183,0.99,0.210642,0.0100007,0.01,0.01,0.01,0.01,0.01,0.01
79,0.082909,0.483636,0.905889,0.99,0.252892,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
80,0.0799681,0.721802,0.75595,0.99,0.317652,0.010001,0.01,0.01,0.01,0.01,0.01,0.01
81,0.121568,0.551919,0.944275,0.99,0.538812,0.01,0.01,0.01,0.01,0.01,0.01,0.01
82,0.284908,0.674559,0.784593,0.989999,0.36546,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
83,0.184093,0.464616,0.954787,0.99,0.405965,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
84,0.0262682,0.625892,0.732423,0.989999,0.146911,0.01,0.01,0.01,0.01,0.01,0.01,0.01
85,0.156461,0.502249,0.794978,0.989999,0.205741,0.0100005,0.01,0.01,0.01,0.01,0.01,0.01
86,0.264713,0.430645,0.955209,0.989998,0.37531,0.0100015,0.01,0.01,0.01,0.01,0.01,0.01
87,0.0458601,0.685961,0.847029,0.99,0.545065,0.0100026,0.01,0.01,0.01,0.01,0.01,0.01
88,0.209763,0.723433,0.949057,0.989999,0.670977,0.0100005,0.01,0.01,0.01,0.01,0.01,0.01
89,0.427723,0.752241,0.90044,0.989999,0.513328,0.010001,0.01,0.01,0.01,0.01,0.01,0.01
90,0.347877,0.6614,0.894184,0.99,0.492328,0.0100016,0.01,0.01,0.01,0.01,0.01,0.01
91,0.191242,0.718872,0.885143,0.99,0.241692,0.0100021,0.01,0.01,0.01,0.01,0.01,0.01
92,0.0354867,0.552761,0.863152,0.99,0.0639464,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
93,0.157786,0.38665,0.649377,0.989999,0.312252,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
94,0.204526,0.427603,0.576098,0.989999,0.321425,0.0100007,0.01,0.01,0.01,0.01,0.01,0.01
95,0.0403918,0.483681,0.821917,0.989998,0.20725,0.0100011,0.01,0.01,0.01,0.01,0.01,0.01
96,0.0498557,0.637045,0.895254,0.99,0.169372,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
97,0.259555,0.642274,0.798553,0.989999,0.331929,0.0100008,0.01,0.01,0.01,0.01,0.01,0.01
98,0.382118,0.502729,0.95082,0.989998,0.477428,0.0100014,0.01,0.01,0.01,0.01,0.01,0.01
99,0.140805,0.695439,0.859272,0.99,0.65455,0.0100021,0.01,0.01,0.01,0.01,0.01,0.01
100,0.13741,0.824495,0.911877,0.99,0.690998,0.0100004,0.01,0.01,0.01,0.01,0.01,0.01
100,0.377715,0.83539,0.968618,0.99,0.541045,0.0100012,0.01,0.01,0.01,0.01,0.01,0.01
